timestamp,open,high,low,close,volume
2016-08-12,97.0000,97.1400,95.5100,96.1200,11774527
2016-08-05,95.2300,96.9400,94.4500,96.8800,15974488
2016-07-29,93.6000,96.5000,92.5400,95.2400,23512467
2016-07-22,91.1800,93.6700,90.8400,93.6600,19316075
2016-07-15,89.0500,92.0300,88.6300,90.9300,22897022
2016-07-08,88.1200,89.3400,86.6500,88.5600,26818749
2016-07-01,90.2700,92.7400,87.5900,88.8500,37458667
2016-06-24,94.5000,95.7100,91.1400,91.4700,23378493
2016-06-17,94.7300,95.6300,92.0500,93.2900,24363900
2016-06-10,96.4000,97.9900,94.9000,95.2100,15046335
2016-06-03,97.1800,97.2000,95.2500,96.0300,12183398
2016-05-27,95.5050,97.1800,94.9900,97.1800,11831224
2016-05-20,95.6000,96.5200,94.0801,95.4700,12922010
2016-05-13,96.8100,97.8400,95.1400,95.3600,14004470
2016-05-06,97.1500,97.9400,95.2300,96.6800,15254724
2016-04-29,96.7900,100.0000,96.0763,96.9900,23014904
2016-04-22,96.6400,98.4900,96.3500,97.4500,20432644
2016-04-15,93.9200,97.3100,93.1400,96.6800,17648764
2016-04-08,96.0100,96.1000,93.0400,93.7900,18772614
2016-04-01,92.1800,96.1100,91.1000,95.8700,20032271
2016-03-24,91.8600,92.6500,91.3000,91.9100,12152963
2016-03-18,88.5300,92.4400,88.0200,92.3100,22423078
2016-03-11,89.6900,89.7500,85.9300,88.5800,19895479
2016-03-04,87.3000,90.5600,86.9000,90.0500,20551099
2016-02-26,87.9300,88.5900,84.5900,87.5700,17185274
2016-02-19,86.1200,87.6000,85.2201,86.7900,15520750
2016-02-12,81.4400,85.2650,78.5200,84.8900,33372297
2016-02-05,88.5200,89.2000,82.1800,82.7600,31268740
2016-01-29,88.0300,89.2500,81.0000,89.0300,42308528
2016-01-22,89.5600,89.7400,83.5200,88.0000,32748346
2016-01-15,90.2500,92.1500,87.8200,88.7100,27877048
2016-01-08,95.3700,95.8300,89.7200,89.8900,27612569
2015-12-31,98.1500,99.9900,97.3600,97.3600,9111386
2015-12-24,96.9100,99.1100,96.2300,98.5900,9077105
2015-12-18,95.0800,100.8000,94.7000,96.2900,23610861
2015-12-11,98.3000,99.9300,94.5000,94.8300,19097038
2015-12-04,98.8000,98.8900,95.7000,98.7000,19667716
2015-11-27,99.9600,99.9600,97.5600,98.6700,8403045
2015-11-20,96.5700,100.1500,96.5000,99.5000,19190296
2015-11-13,101.0400,101.7600,96.6895,96.8600,21017111
2015-11-06,98.9000,101.5100,98.6900,101.5000,20635866
2015-10-30,98.5000,101.6500,97.8400,98.9900,22502861
2015-10-23,97.2100,99.8600,96.4800,99.7900,18649955
2015-10-16,95.8300,97.6900,94.7900,97.6400,14111425
2015-10-09,92.7900,96.1900,92.5500,95.8200,18939837
2015-10-02,90.9700,92.1200,88.0150,92.0700,21882605
2015-09-25,92.8700,94.0700,90.1100,91.3000,17405616
2015-09-18,91.2800,94.8400,90.1800,92.1500,25509117
2015-09-11,92.2100,93.5500,89.4600,91.3500,24236501
2015-09-04,93.3400,93.6400,88.5400,90.5300,23692592
2015-08-28,85.5000,94.2100,74.6100,94.0800,33130027
